SiteName,Locator,Latitude,Longitude,Site Type,Area,New Georeferenced Column
Laughin Jacobs mouth at E Lake Sammamish Pkwy,A670,47.565655560000003,-122.0526194,Streams and Rivers,Laughing Jacobs,POINT (-122.0526194 47.56565556)
Longfellow Creek at SW Yancy St,C370,47.567597220000003,-122.36651670000001,Streams and Rivers,Longfellow,POINT (-122.3665167 47.56759722)
Springbrook Creek mouth at SW 16th St,0317,47.465861109999999,-122.2326389,Streams and Rivers,Springbrook/Black River,POINT (-122.2326389 47.46586111)
Penn Cove - west end,PENNCOVEWEST,48.224899999999998,-122.72,Marine Offshore,Whidbey,POINT (-122.72 48.2249)
Little Bear Creek at Little Bear Creek Rd,S478,47.811444440000002,-122.15900000000001,Streams and Rivers,Little Bear,POINT (-122.159 47.81144444)
Lake Washington Yarrow Bay,0814,47.653419999999997,-122.21125000000001,Large Lakes,Lake Washington,POINT (-122.21125 47.65342)
West Point Outfall,KSSK02,47.660598800000002,-122.4469986,Marine Offshore,Central Puget Sound,POINT (-122.4469986 47.6605988)
Idylwood Creek mouth at Idylwood Park,A620,47.642972219999997,-122.1026944,Streams and Rivers,Idylwood,POINT (-122.1026944 47.64297222)
Swamp Creek at Carter Rd,BB470,47.77975,-122.25097220000001,Streams and Rivers,Swamp,POINT (-122.2509722 47.77975)
Lake Washington off Sand Point,0826,47.686751999999998,-122.23533,Large Lakes,Lake Washington,POINT (-122.23533 47.686752)
Lake Washington Meydenbauer Bay,0834,47.610250000000001,-122.21191399999999,Large Lakes,Lake Washington,POINT (-122.211914 47.61025)
Cherry Creek at NE Cherry Valley Rd,CHERRY_1,47.743055560000002,-121.9416667,Streams and Rivers,Cherry Creek,POINT (-121.9416667 47.74305556)
SAM Sculpture Park,LTBD27,47.617198899999998,-122.3580017,Marine Intertidal,Central Puget Sound,POINT (-122.3580017 47.6171989)
Newaukum Creek mouth at 212th Way SE,0322,47.274083330000003,-122.0561944,Streams and Rivers,Newaukum,POINT (-122.0561944 47.27408333)
Hidden Lake Beach,0207SB,47.752181999999998,-122.36998,Swimming Beaches,Hidden Lake,POINT (-122.36998 47.752182)
Crisp Creek at SE 348th St above hatchery intake,FF321,47.485694440000003,-122.1022778,Streams and Rivers,Crisp,POINT (-122.1022778 47.48569444)
Carkeek Outfall,CK200P,47.712699899999997,-122.3880005,Marine Offshore,Central Puget Sound,POINT (-122.3880005 47.7126999)
Duwamish River - South Park Bridge,LTUM03,47.529399900000001,-122.314003,Marine Offshore,Central Puget Sound,POINT (-122.314003 47.5293999)
Cedar River at SE Jones Rd,A438,47.457944439999999,-122.07830559999999,Streams and Rivers,Cedar,POINT (-122.0783056 47.45794444)
Mount Baker Park,0820SB,47.583331999999999,-122.28722999999999,Swimming Beaches,Lake Washington,POINT (-122.28723 47.583332)
Echo Lake Park Swim Beach on NE Shore,A764SB,47.772804000000001,-122.34131000000001,Swimming Beaches,Echo Lake,POINT (-122.34131000000001 47.772804)
Jenkins Creek at Kent Black Diamond Rd SE,D320,47.340416670000003,-122.1295556,Streams and Rivers,Jenkins,POINT (-122.1295556 47.34041667)
Seacrest Park,LSGY01,47.589099900000001,-122.3799973,Marine Intertidal,Central Puget Sound,POINT (-122.3799973 47.5890999)
Lake Washington Juanita Bay,0807,47.698943999999997,-122.218475,Large Lakes,Lake Washington,POINT (-122.218475 47.698944)
Kelsey Creek at Kelsey Creek Park,D444,47.605972219999998,-122.1622222,Streams and Rivers,Mercer Slough,POINT (-122.1622222 47.60597222)
Lake Sammamish near Pine Lake Creek,M621,47.601191999999998,-122.08202,Large Lakes,Lake Sammamish,POINT (-122.08202 47.601192)
Lake Sammamish mid-lake north,0611,47.622776000000002,-122.08083000000001,Large Lakes,Lake Sammamish,POINT (-122.08083 47.622776)
Sammamish Landing,SAMMLANDINGSB,47.648589999999999,-122.68843,Swimming Beaches,Lake Sammamish,POINT (-122.68843 47.64859)
Vashon Outfall Beach,MSJL01,47.453701000000002,-122.4440002,Marine Intertidal,Central Puget Sound,POINT (-122.4440002 47.453701)
Redondo Beach,NTFK01,47.349498699999998,-122.3239975,Marine Intertidal,Central Puget Sound,POINT (-122.3239975 47.3494987)
North Creek at 240th St SE,D474,47.779916669999999,-122.1881389,Streams and Rivers,North,POINT (-122.1881389 47.77991667)
